id,estado,antiguedad,vivienda,plazo,edad,estadocivil,registros,trabajo,gastos,ingresos,activos,deuda,cantidad,precio
3299,bueno,6,alquila,36,26,casado,no,fijo,47,120,0,0,1250,1657
3660,bueno,6,alquila,36,24,casado,no,fijo,63,175,0,0,650,750
3273,bueno,14,propietario,30,37,casado,no,fijo,60,121,5000,0,650,1708
2857,bueno,7,padres,6,28,soltero,no,fijo,35,93,NA,0,600,1827
1990,bueno,10,alquila,60,31,casado,no,fijo,59,138,0,0,1600,1796
1489,bueno,4,propietario,24,22,soltero,no,fijo,35,79,4000,0,1000,1618
799,bueno,10,propietario,60,43,casado,no,fijo,75,188,5000,0,1000,1264
4312,malo,14,privado,36,45,separado,sí,fijo,35,120,2500,0,1150,1350
2435,bueno,6,padres,48,24,soltero,no,fijo,35,107,6500,1172,1000,1200
3070,bueno,6,propietario,60,22,soltero,no,fijo,45,233,10000,0,850,1014
3062,bueno,14,padres,36,30,casado,no,fijo,35,172,0,0,1100,1505
2623,malo,1,propietario,60,47,separado,no,fijo,35,48,5000,0,1200,1445
3429,bueno,0,padres,60,30,casado,no,fijo,60,128,0,0,900,975
1490,malo,7,padres,60,40,casado,no,fijo,90,93,8000,0,1300,1588
2679,bueno,3,padres,18,21,soltero,sí,fijo,35,75,0,0,500,1364
2395,bueno,2,padres,24,26,soltero,no,fijo,35,79,0,0,590,894
4232,bueno,22,propietario,48,39,soltero,no,fijo,35,83,2500,0,650,1265
3713,bueno,16,propietario,36,55,casado,sí,fijo,60,230,5000,0,1200,1460
1728,bueno,2,propietario,60,37,casado,no,fijo,90,137,3000,1,1100,1563
4204,bueno,8,propietario,60,29,casado,no,fijo,45,192,6000,2500,1300,1595
204,bueno,10,propietario,24,52,casado,no,fijo,75,318,4500,700,700,2004
3586,bueno,2,padres,12,26,soltero,no,fijo,35,105,0,0,360,1258
174,malo,2,alquila,60,28,casado,no,fijo,74,138,0,0,1400,1400
