id,estado,antiguedad,vivienda,plazo,edad,estadocivil,registros,trabajo,gastos,ingresos,activos,deuda,cantidad,precio
985,malo,0,propietario,36,43,viudo,no,otros,35,49,2000,0,400,710
2182,bueno,4,propietario,60,64,casado,no,otros,45,82,8000,0,1000,1590
2519,bueno,10,padres,48,58,casado,no,otros,35,450,2500,0,1200,1505
2403,bueno,0,propietario,12,22,casado,no,otros,75,100,50000,8000,900,2327
583,bueno,5,alquila,36,45,casado,no,otros,90,150,10000,0,1100,1556
3038,malo,1,privado,48,63,casado,no,otros,35,NA,2000,0,500,1400
1128,bueno,5,propietario,60,65,casado,no,otros,45,222,12000,0,600,1264
43,bueno,0,propietario,60,61,viudo,no,otros,35,230,50000,0,950,1150
559,malo,0,otra,36,28,casado,sí,otros,45,297,8000,0,1360,1362
3968,bueno,0,propietario,24,52,casado,no,otros,45,170,6500,0,500,600
1802,bueno,0,padres,24,21,soltero,no,otros,35,NA,300000,0,1318,1318
2449,malo,3,propietario,48,53,casado,no,otros,75,60,NA,NA,1500,1637
1983,malo,0,padres,60,23,soltero,no,otros,35,46,0,0,1340,1340
1831,bueno,0,propietario,36,61,casado,no,otros,45,111,6000,0,750,857
4163,bueno,6,propietario,60,63,viudo,no,otros,35,54,13000,0,1000,1063
2615,malo,2,propietario,60,42,viudo,no,otros,45,35,6000,0,650,865
3854,bueno,0,padres,60,31,casado,no,otros,75,37,0,0,1500,2084
3913,malo,0,alquila,36,18,soltero,sí,otros,38,33,0,0,300,350
3350,malo,10,alquila,24,39,soltero,sí,otros,55,195,0,0,400,435
2431,malo,2,alquila,48,48,casado,sí,otros,109,193,0,0,1140,1143
2248,bueno,3,propietario,60,60,casado,sí,otros,45,67,10000,0,1000,1683
4389,malo,0,propietario,60,34,casado,sí,otros,45,95,10000,360,1350,1766
1074,bueno,3,alquila,60,41,casado,no,otros,51,60,0,0,750,818
1095,bueno,2,propietario,24,57,casado,no,otros,45,25,2500,0,400,1034
3055,bueno,3,propietario,60,64,viudo,no,otros,35,135,2500,0,650,660
