id,estado,antiguedad,vivienda,plazo,edad,estadocivil,registros,trabajo,gastos,ingresos,activos,deuda,cantidad,precio
426,malo,1,padres,36,22,soltero,sí,tiempo parcial,35,50,0,0,425,450
1558,malo,5,propietario,60,50,casado,no,tiempo parcial,60,81,5000,0,1540,1770
33,bueno,14,privado,24,51,casado,no,tiempo parcial,75,198,1000,0,450,650
2863,malo,0,alquila,36,34,soltero,no,tiempo parcial,44,85,0,0,325,375
2568,bueno,2,padres,36,22,soltero,no,tiempo parcial,35,100,25000,0,1400,1850
3494,bueno,0,otra,60,21,soltero,no,tiempo parcial,35,NA,4000,0,1250,1300
446,bueno,1,alquila,36,37,divorciado,no,tiempo parcial,55,200,15000,0,1100,1650
1041,bueno,0,alquila,36,29,soltero,no,tiempo parcial,46,113,0,0,1100,1110
1622,malo,0,alquila,36,18,soltero,no,tiempo parcial,40,51,0,0,500,500
3765,malo,1,alquila,36,26,soltero,no,tiempo parcial,42,70,0,0,590,590
578,malo,0,privado,60,47,casado,no,tiempo parcial,75,156,2000,200,600,1556
3014,malo,1,padres,60,26,soltero,no,tiempo parcial,35,NA,0,0,2400,2599
4309,bueno,0,padres,60,23,soltero,no,tiempo parcial,35,205,0,0,1100,1258
2786,bueno,1,padres,24,29,soltero,no,tiempo parcial,35,147,0,0,650,1370
2141,malo,1,alquila,60,56,casado,no,tiempo parcial,88,133,0,0,750,784
2699,malo,1,propietario,48,25,casado,no,tiempo parcial,35,63,3500,0,890,890
1543,bueno,1,ignorar,24,27,casado,no,tiempo parcial,60,128,4000,0,400,1224
1601,malo,0,propietario,48,39,casado,sí,tiempo parcial,45,132,3500,0,1000,1603
1141,malo,1,propietario,60,49,casado,no,tiempo parcial,105,88,2000,0,850,1149
738,bueno,2,padres,24,19,soltero,no,tiempo parcial,35,60,0,0,530,630
2986,malo,1,propietario,60,43,casado,no,tiempo parcial,75,147,6000,2000,750,1256
4216,bueno,0,padres,36,20,soltero,no,tiempo parcial,35,120,0,0,1100,1100
739,bueno,0,privado,60,32,casado,no,tiempo parcial,75,160,6000,0,1200,1571
2317,bueno,1,propietario,12,28,casado,no,tiempo parcial,45,130,18000,2500,400,2575
1751,malo,0,propietario,48,21,soltero,no,tiempo parcial,60,160,2500,0,1220,1598
4014,bueno,0,propietario,24,18,soltero,no,tiempo parcial,35,104,12000,0,1700,1726
3024,malo,0,alquila,36,27,casado,no,tiempo parcial,42,72,0,0,700,925
529,bueno,1,propietario,18,27,casado,no,tiempo parcial,45,149,2000,0,700,818
3751,malo,3,padres,48,38,casado,no,tiempo parcial,60,67,0,0,1000,1045
2433,bueno,10,padres,24,40,casado,no,tiempo parcial,60,116,2000,0,480,620
1883,malo,0,otra,60,33,casado,sí,tiempo parcial,75,NA,0,0,2000,3467
3820,bueno,0,padres,60,24,soltero,no,tiempo parcial,35,111,3000,1200,850,1412
2332,bueno,0,padres,48,31,soltero,no,tiempo parcial,35,65,2500,0,1000,1560
1796,bueno,2,padres,48,19,soltero,no,tiempo parcial,35,87,0,0,900,1045
2097,bueno,0,propietario,18,20,soltero,no,tiempo parcial,35,180,4000,0,700,960
1140,malo,10,propietario,48,35,casado,no,tiempo parcial,75,55,4000,0,1500,1786
4229,malo,1,padres,60,22,casado,sí,tiempo parcial,45,183,0,0,1600,1739
647,bueno,2,propietario,60,24,casado,no,tiempo parcial,45,67,4100,2800,1400,1403
1705,bueno,0,otra,36,20,soltero,no,tiempo parcial,45,150,0,0,450,500
232,bueno,6,alquila,60,49,casado,sí,tiempo parcial,100,100,30000,0,1500,1500
724,malo,2,otra,60,24,casado,no,tiempo parcial,45,126,0,0,1450,1585
2794,bueno,5,padres,60,21,soltero,no,tiempo parcial,35,70,0,0,1400,1550
2507,malo,2,privado,60,22,casado,no,tiempo parcial,35,60,2800,0,1300,1422
4048,malo,0,alquila,48,35,casado,no,tiempo parcial,106,160,0,0,930,930
1142,malo,1,propietario,60,35,soltero,no,tiempo parcial,35,181,4500,0,1600,1912
1015,malo,0,padres,48,40,casado,no,tiempo parcial,90,113,3500,0,600,710
1845,malo,1,alquila,24,31,separado,no,tiempo parcial,41,58,NA,NA,200,300
3084,bueno,1,padres,60,20,casado,no,tiempo parcial,35,90,0,0,1370,1499
4326,malo,2,padres,30,28,soltero,no,tiempo parcial,35,70,0,0,550,875
1003,malo,0,propietario,60,48,casado,no,tiempo parcial,75,100,7000,0,1000,1129
3978,bueno,1,alquila,6,38,casado,no,tiempo parcial,72,118,0,0,125,375
2850,bueno,3,padres,36,29,soltero,no,tiempo parcial,35,110,0,0,800,1428
3911,malo,0,privado,60,43,casado,no,tiempo parcial,45,117,2000,250,1600,1967
46,bueno,1,padres,60,26,soltero,no,tiempo parcial,35,120,0,0,1150,1300
511,bueno,0,propietario,36,54,casado,no,tiempo parcial,60,110,11500,0,1100,1759
4387,malo,0,padres,36,31,soltero,no,tiempo parcial,35,71,0,0,1000,1454
2736,bueno,0,padres,36,22,soltero,no,tiempo parcial,35,105,3000,0,750,1092
1270,bueno,2,padres,48,23,soltero,no,tiempo parcial,35,160,3500,1200,1200,1426
967,malo,1,alquila,36,25,casado,sí,tiempo parcial,69,92,0,0,475,550
3980,malo,1,alquila,24,24,soltero,no,tiempo parcial,49,139,0,0,500,550
1485,bueno,0,padres,36,26,casado,no,tiempo parcial,60,142,0,0,1000,1426
3399,bueno,1,padres,60,21,soltero,no,tiempo parcial,35,45,0,0,400,904
2367,bueno,3,propietario,18,24,casado,no,tiempo parcial,45,185,3500,0,600,925
3504,malo,2,alquila,60,43,casado,sí,tiempo parcial,84,86,0,0,1650,1782
4220,malo,0,propietario,48,54,viudo,no,tiempo parcial,35,67,5000,0,760,860
1027,malo,3,propietario,36,35,casado,sí,tiempo parcial,60,144,3000,0,475,690
3838,malo,2,privado,48,37,casado,sí,tiempo parcial,75,115,2000,0,850,1194
2914,malo,1,padres,48,36,casado,no,tiempo parcial,60,150,0,0,1000,1148
3664,malo,1,otra,36,23,soltero,no,tiempo parcial,35,66,0,0,450,500
1903,malo,0,otra,36,24,casado,no,tiempo parcial,60,NA,0,0,800,1250
3912,malo,0,alquila,60,25,soltero,sí,tiempo parcial,47,120,0,0,1200,1460
3142,malo,2,padres,60,25,soltero,sí,tiempo parcial,35,65,0,0,1500,1892
2722,bueno,0,propietario,48,45,casado,no,tiempo parcial,35,110,3000,0,1200,1642
3346,bueno,1,padres,24,21,soltero,no,tiempo parcial,35,90,0,0,900,1307
3786,malo,2,propietario,60,24,soltero,no,tiempo parcial,35,120,3000,0,1400,1513
155,malo,0,padres,60,23,soltero,no,tiempo parcial,35,205,0,0,1400,1426
1799,malo,1,alquila,60,33,casado,no,tiempo parcial,85,250,5000,0,1700,1878
3533,malo,5,padres,48,23,soltero,no,tiempo parcial,35,92,0,0,1200,1200
4211,malo,0,padres,48,26,casado,no,tiempo parcial,45,76,0,0,700,2300
1533,bueno,2,padres,24,19,soltero,no,tiempo parcial,35,50,50000,0,900,1472
688,bueno,2,alquila,60,32,casado,no,tiempo parcial,87,115,2000,0,1250,1517
924,malo,3,propietario,60,23,soltero,no,tiempo parcial,35,71,1500,0,1150,1386
865,bueno,6,padres,60,33,casado,sí,tiempo parcial,60,NA,0,0,1250,1332
2580,malo,0,padres,24,20,soltero,no,tiempo parcial,35,66,0,0,550,550
2222,malo,0,alquila,18,24,soltero,no,tiempo parcial,39,40,0,0,300,460
4432,malo,0,alquila,60,36,casado,sí,tiempo parcial,75,150,0,0,1500,1642
3836,malo,0,privado,36,31,casado,no,tiempo parcial,35,202,6000,0,1300,1663
3626,bueno,0,padres,48,27,soltero,no,tiempo parcial,35,140,0,0,700,750
795,bueno,1,propietario,36,42,casado,no,tiempo parcial,60,62,3000,0,300,450
3497,malo,2,padres,48,27,separado,no,tiempo parcial,35,125,0,0,870,1480
3372,malo,0,alquila,48,46,casado,no,tiempo parcial,72,116,0,0,860,965
1396,bueno,0,padres,24,24,soltero,no,tiempo parcial,35,117,4000,0,1000,1489
4406,bueno,1,alquila,60,26,soltero,no,tiempo parcial,42,74,0,0,750,778
522,bueno,1,propietario,60,31,casado,no,tiempo parcial,45,160,4000,300,1200,1265
990,bueno,6,propietario,24,42,casado,no,tiempo parcial,60,145,3000,0,500,1850
3138,malo,1,padres,60,38,casado,no,tiempo parcial,60,92,3500,0,1000,1025
642,bueno,3,alquila,60,50,casado,no,tiempo parcial,69,90,0,0,1300,1490
2539,malo,0,propietario,6,33,soltero,sí,tiempo parcial,45,240,4500,0,675,1146
4156,bueno,0,padres,36,22,soltero,no,tiempo parcial,35,81,2500,0,400,775
2658,bueno,0,propietario,24,33,casado,no,tiempo parcial,35,100,8000,0,500,2700
3589,bueno,0,propietario,24,30,casado,no,tiempo parcial,60,76,4500,0,400,450
2868,bueno,4,alquila,36,35,casado,no,tiempo parcial,52,72,0,0,350,899
3343,malo,1,padres,36,24,soltero,sí,tiempo parcial,35,50,0,0,1750,1850
4321,malo,5,privado,60,37,casado,no,tiempo parcial,60,95,2000,0,1065,1165
2804,malo,1,propietario,24,32,casado,no,tiempo parcial,45,182,4000,200,175,175
4315,malo,2,otra,60,26,soltero,sí,tiempo parcial,35,55,0,0,1500,1543
123,malo,1,propietario,60,27,casado,no,tiempo parcial,75,160,4000,3000,1800,2100
377,bueno,3,propietario,18,30,soltero,no,tiempo parcial,35,130,5000,0,1100,1674
1567,bueno,12,propietario,48,49,casado,no,tiempo parcial,45,80,4000,0,800,1228
625,bueno,0,padres,60,22,soltero,no,tiempo parcial,45,183,4000,0,1150,1150
502,bueno,3,propietario,60,38,casado,sí,tiempo parcial,75,81,4000,0,1000,1037
1298,bueno,10,alquila,36,47,soltero,no,tiempo parcial,86,114,3500,0,400,872
3764,bueno,11,propietario,12,26,casado,sí,tiempo parcial,35,110,4500,2000,300,1248
