id,trabajo,gastos,ingresos,activos
3299,fijo,47,120,0
426,tiempo parcial,35,50,0
1558,tiempo parcial,60,81,5000
3660,fijo,63,175,0
864,freelance,60,200,5500
3273,fijo,60,121,5000
2857,fijo,35,93,NA
1990,fijo,59,138,0
1489,fijo,35,79,4000
799,fijo,75,188,5000
33,tiempo parcial,75,198,1000
4312,fijo,35,120,2500
2435,fijo,35,107,6500
4064,freelance,45,NA,0
3070,fijo,45,233,10000
1766,freelance,90,NA,9000
1240,freelance,90,215,4500
3062,fijo,35,172,0
2623,fijo,35,48,5000
604,freelance,60,125,5000
3429,fijo,60,128,0
2863,tiempo parcial,44,85,0
1490,fijo,90,93,8000
2679,fijo,35,75,0
2395,fijo,35,79,0
665,freelance,45,50,16000
4232,fijo,35,83,2500
3713,fijo,60,230,5000
2678,freelance,35,61,18000
1728,fijo,90,137,3000
4204,fijo,45,192,6000
985,otros,35,49,2000
204,fijo,75,318,4500
3586,fijo,35,105,0
174,fijo,74,138,0
2568,tiempo parcial,35,100,25000
1219,freelance,94,340,1000
1792,freelance,75,100,30000
3494,tiempo parcial,35,NA,4000
3738,freelance,35,200,70000
2643,freelance,35,67,0
2182,otros,45,82,8000
1892,fijo,75,156,0
819,fijo,105,154,12000
1290,fijo,75,209,11000
965,fijo,88,125,0
1623,freelance,75,70,7000
3462,freelance,45,NA,0
2541,freelance,45,62,0
3141,freelance,45,135,10000
3276,fijo,45,125,5000
2616,fijo,60,84,5000
3746,fijo,56,111,0
196,freelance,60,95,8000
3163,fijo,60,140,12000
3253,freelance,108,180,12000
590,fijo,105,129,3000
1339,fijo,35,110,0
446,tiempo parcial,55,200,15000
1041,tiempo parcial,46,113,0
622,fijo,77,173,0
1828,fijo,60,153,3000
1436,freelance,45,NA,16000
1255,fijo,60,145,3500
3986,fijo,35,56,3500
1824,fijo,75,305,8000
3086,freelance,35,170,4000
2038,fijo,60,60,3000
1320,fijo,45,190,12000
106,fijo,75,315,4500
1622,tiempo parcial,40,51,0
3765,tiempo parcial,42,70,0
1904,fijo,35,155,3000
4443,fijo,35,63,2000
4265,freelance,35,700,23000
4098,fijo,46,110,0
930,fijo,60,130,6000
578,tiempo parcial,75,156,2000
4174,fijo,35,120,0
1640,freelance,75,70,4600
3623,fijo,60,150,0
3014,tiempo parcial,35,NA,0
3691,freelance,75,NA,4000
2547,fijo,103,283,0
253,fijo,73,125,0
109,fijo,45,135,5000
4309,tiempo parcial,35,205,0
1382,fijo,45,63,3000
841,fijo,85,100,0
3702,fijo,46,113,0
1045,fijo,60,310,3000
612,fijo,56,107,0
3110,freelance,60,NA,25000
2136,fijo,90,254,14000
3413,fijo,75,158,6000
608,freelance,75,300,4000
2786,tiempo parcial,35,147,0
3577,fijo,35,104,3000
2659,fijo,45,167,6000
2530,freelance,45,66,NA
2855,fijo,45,96,4000
2769,freelance,60,NA,0
3144,fijo,45,200,15000
3403,fijo,79,188,3000
1830,fijo,52,65,0
338,freelance,90,187,2500
2309,fijo,60,80,4000
2141,tiempo parcial,88,133,0
4341,fijo,35,200,0
2228,fijo,35,90,0
2699,tiempo parcial,35,63,3500
3360,fijo,51,160,0
2519,otros,35,450,2500
1543,tiempo parcial,60,128,4000
2341,fijo,45,90,8000
3877,fijo,45,419,5500
673,fijo,85,100,0
2479,fijo,35,146,8000
480,freelance,107,320,1500
3692,fijo,35,61,0
3257,fijo,35,125,0
3390,fijo,35,85,10000
509,fijo,68,80,0
97,fijo,45,138,0
577,fijo,75,148,0
2831,fijo,60,200,8000
3728,fijo,75,87,3000
2403,otros,75,100,50000
2557,fijo,75,163,4000
1601,tiempo parcial,45,132,3500
2349,freelance,90,NA,4500
2768,fijo,46,110,0
293,fijo,60,132,6000
1645,freelance,75,180,12000
2085,freelance,60,103,36000
113,freelance,90,300,12500
2258,fijo,53,75,0
2232,fijo,45,150,4000
3292,fijo,35,51,0
1141,tiempo parcial,105,88,2000
738,tiempo parcial,35,60,0
4273,fijo,72,115,0
2986,tiempo parcial,75,147,6000
1245,fijo,45,126,3500
1168,fijo,105,NA,0
831,fijo,75,156,0
3799,fijo,35,200,0
1691,fijo,35,210,0
4216,tiempo parcial,35,120,0
739,tiempo parcial,75,160,6000
1790,fijo,75,80,2500
2326,fijo,57,121,0
1005,fijo,45,225,0
583,otros,90,150,10000
249,fijo,45,235,0
4324,fijo,48,128,0
3279,fijo,60,80,0
2317,tiempo parcial,45,130,18000
4405,fijo,35,75,0
1725,freelance,55,200,0
1751,tiempo parcial,60,160,2500
645,fijo,75,182,5000
4019,fijo,97,223,0
892,fijo,35,63,0
4112,fijo,35,165,3000
169,fijo,42,74,0
1391,fijo,68,80,0
3015,fijo,60,116,4000
27,fijo,75,180,4000
156,freelance,75,133,12000
3250,fijo,80,200,0
884,fijo,70,100,0
3319,freelance,35,70,10000
4014,tiempo parcial,35,104,12000
3024,tiempo parcial,42,72,0
2023,fijo,60,150,4000
1040,fijo,85,100,0
4101,fijo,35,110,5000
2414,fijo,45,87,6500
3937,fijo,45,260,0
3038,otros,35,NA,2000
2656,fijo,35,145,4000
3595,freelance,75,120,10500
2140,fijo,60,184,15000
543,fijo,60,160,4500
529,tiempo parcial,45,149,2000
1024,fijo,88,125,0
281,fijo,45,77,0
4391,fijo,74,138,0
4314,fijo,35,105,0
1194,fijo,35,83,0
3748,fijo,35,110,4000
3751,tiempo parcial,60,67,0
3185,freelance,60,NA,4000
1128,otros,45,222,12000
3008,freelance,60,NA,44000
2117,fijo,60,167,2000
4142,fijo,35,185,4000
2433,tiempo parcial,60,116,2000
1154,freelance,45,80,6000
1311,fijo,35,60,8000
4371,fijo,75,131,5000
1147,fijo,42,74,0
1617,fijo,45,95,3000
2987,fijo,60,200,6500
1233,freelance,45,100,39000
2244,fijo,45,120,5000
3759,fijo,75,192,23000
1018,freelance,35,75,7000
2056,fijo,90,350,11000
90,fijo,60,146,0
4410,fijo,60,205,7000
2437,freelance,135,NA,0
1737,freelance,84,92,0
386,freelance,75,300,2700
1888,fijo,95,198,0
994,freelance,60,150,5000
800,fijo,35,150,0
99,freelance,120,208,15000
1883,tiempo parcial,75,NA,0
1173,fijo,66,60,0
589,fijo,35,180,4000
554,fijo,75,105,10000
935,freelance,82,69,0
1146,freelance,60,225,14500
1428,freelance,90,905,20000
1934,fijo,35,78,9500
1928,fijo,75,110,3500
650,fijo,59,140,0
1197,fijo,60,243,8500
3865,fijo,35,120,3500
43,otros,35,230,50000
3820,tiempo parcial,35,111,3000
709,fijo,60,180,7500
1081,fijo,35,85,0
2332,tiempo parcial,35,65,2500
3221,fijo,45,173,4500
4203,freelance,35,115,0
2505,freelance,60,NA,0
3719,fijo,60,120,5000
4318,fijo,60,152,3500
2400,fijo,42,66,0
1534,fijo,58,128,0
363,freelance,35,100,0
4356,freelance,45,107,3500
2700,fijo,35,204,7000
2559,fijo,74,140,0
1796,tiempo parcial,35,87,0
2600,fijo,60,92,3500
2097,tiempo parcial,35,180,4000
421,fijo,75,144,0
1484,fijo,35,345,18000
1655,fijo,60,95,4000
1577,fijo,45,75,3500
4346,fijo,35,110,15000
3840,fijo,35,155,7000
4040,fijo,69,94,0
1545,freelance,75,183,5000
1682,freelance,53,183,93000
2630,freelance,99,535,0
1140,tiempo parcial,75,55,4000
3006,fijo,35,126,15000
1535,freelance,60,NA,6000
597,fijo,75,100,3000
4229,tiempo parcial,45,183,0
647,tiempo parcial,45,67,4100
159,fijo,45,195,0
1582,fijo,75,100,2000
1404,fijo,60,102,2500
3685,fijo,60,150,0
989,freelance,35,NA,0
2871,fijo,35,105,0
2703,freelance,35,141,5000
4384,fijo,35,187,15000
1923,freelance,35,100,12000
3830,freelance,45,106,12000
979,freelance,60,200,9000
4024,fijo,35,110,0
1445,fijo,75,155,3000
1281,freelance,35,NA,0
3637,fijo,54,92,0
1096,fijo,35,130,4000
1815,fijo,60,171,7000
1210,fijo,35,110,2500
3593,freelance,90,174,11900
857,fijo,45,64,0
1705,tiempo parcial,45,150,0
2339,fijo,50,150,0
232,tiempo parcial,100,100,30000
